day,average_speed
12110,14.074044507538737
12111,13.412602969057799
12112,13.238281000214066
12113,13.160297440751242
12114,12.94383770416175
12115,12.735122378123757
12116,12.355172117572419
12117,12.507476139051292
12118,12.578829417361312
12119,12.356977362002674
12120,12.159192415099994
12121,12.35471542128921
12122,11.829566457715744
12123,11.921468646221212
12124,11.824129208226555
12125,11.704923002867222
12126,11.804055584487482
12127,11.976198275626489
12128,11.47564828656036
12129,11.51134370778068
12130,11.275858231510652
12131,11.12538664517911
12132,11.269435374339576
12133,11.034684761028718
12134,10.866673171950469
12135,10.930549609025455
12136,10.802913675458084
12137,11.114542704409978
12138,11.26870470606133
12139,11.191468865524964
12140,10.938700405652735
12141,11.045706793405738
12142,11.323143620551111
12143,11.124622250791322
12144,10.985221089462634
12145,10.9866964633616
12146,10.655600040300156
12147,10.589984995425224
12148,10.215153254915467
12149,10.10879617050618
12150,10.318619275261332
12151,10.277978970395802
12152,10.19669491624821
12153,10.305684394482775
12154,10.28218585160306
12155,10.111119864676702
12156,10.139756984265812
12157,10.246580733583606
12158,10.172135861111634
12159,10.024430502710166
12160,9.966521124342076
12161,9.998223897573553
12162,10.129858024696528
12163,10.051894934217867
12164,9.881944524393994
12165,9.998252269731328
12166,10.10112046139792
12167,10.34684657586703
12168,10.069897642303447
12169,10.065727406532933
12170,9.91707129727748
12171,10.000734771993589
12172,10.140227169952933
12173,10.07926405284379
12174,9.853858159354452
12175,9.72290412492902
12176,9.68736875392459
12177,9.613673396317717
12178,9.762696793259998
12179,9.928477723888143
12180,9.94296088355343
12181,10.172119709420151
12182,10.1112235216488
12183,10.177417445859486
12184,10.230319295763652
12185,10.4077360555914
12186,9.831532241345109
12187,9.619657917912164
12188,9.90813591682042
12189,9.947844403072322
12190,9.85902404564862
12191,10.676520061730493
12192,11.098886986054783
12193,11.21753968143608
12194,11.070628827024755
12195,11.190737395438548
12196,11.45656096040187
12197,11.078938428179255
12198,11.015524884769519
12199,11.042724724071926
12200,11.390271171550378
12201,11.170687195018285
12202,11.327714879325532
12203,11.128871521927989
12204,11.299544934139785
12205,11.45164522038268
12206,11.256716621636942
12207,11.344312916903347
12208,11.3232556822723
12209,11.32202041160816
12210,11.09599167225359
12211,11.017552165102245
12212,11.006049671826435
12213,10.948818104069781
12214,11.13564252469572
12215,11.3588111635985
12216,11.42980094257201
12217,11.412946087681561
12218,11.52345270205902
12219,11.563058985688272
12220,11.411037531774257
12221,11.321229626034151
12222,11.356329153635667
12223,11.639588670172847
12224,11.569359399265165
12225,11.488158923911703
12226,11.509106244526349
12227,11.428650507498146
12228,11.322881264215471
12229,11.397808760476284
12230,11.386007842338875
12231,11.225156165182733
12232,10.647856895249983
12233,10.50030994214906
12234,10.442453626793224
12235,9.913119234071512
12236,10.052292103146936
12237,10.026046530538569
12238,10.267470433410598
12239,10.53278447888085
12240,10.758352602259087
12241,11.08792085869263
12242,11.366511854911256
12243,11.622653119709645
12244,11.977479500646812
12245,11.33166885598779
12246,11.163567254105462
12247,11.456470746949057
12248,10.878810166763902
12249,10.40586245093609
12250,10.421931103219318
12251,10.868142935054191
12252,10.72439085187767
12253,10.9226883927802
12254,10.395242937676965
12255,10.803071699787706
12256,10.91254858625999
12257,10.851728503661297
12258,10.900717318806436
12259,11.204128558412554
12260,11.288391937469262
12261,11.32103229632172
12262,11.429538844741307
12263,11.443047793952957
12264,11.83131488922892
12265,11.455717683431983
12266,11.524208220037078
12267,11.40738656809798
12268,11.568930924543912
12269,11.53163874405828
12270,11.629910516981624
12271,11.297694553428402
12272,11.184321299882534
12273,11.435769719588462
12274,11.652954039579294
12275,11.69772309325225
12276,12.060521051569982
12277,12.572667567299622
12278,12.265894502543425
12279,11.380872194979244
12280,10.777684439571011
12281,10.856694613728946
12282,10.76935237624659
12283,10.882563836126648
12284,10.833041076420246
12285,11.31632131250347
12286,11.585357187531061
12287,11.631601062848462
12288,11.833738093493718
12289,11.667769732575438
12290,11.755264128812875
12291,11.876827509295536
12292,11.841561493025614
12293,11.957259561739662
12294,12.198746117426442
12295,12.06186864257592
12296,12.048874599763408
12297,11.484492158664013
12298,11.561819000366123
12299,11.51708395253492
12300,11.31672178311201
12301,11.784988597162874
12302,11.661856297780082
12303,11.985777283981061
12304,12.140708022684635
12305,12.676238242926715
12306,12.974725492023657
12307,12.94022274436984
12308,12.957758288594388
12309,12.786885818962519
12310,12.95003482531817
12311,13.147189079495117
12312,13.26437511467667
12313,13.543671629430486
12314,13.650282162179163
12315,13.818227462347995
12316,13.828704650614256
12317,13.922138514673575
12318,13.663631451607438
12319,13.517455725157008
12320,13.620403646226228
12321,13.779802234405782
12322,13.878991581521165
12323,13.751674661902344
12324,13.559025618729047
12325,13.312200452564547
12326,13.306471470098922
12327,13.105664390199351
12328,13.071018813048125
12329,12.981843966091125
12330,13.210938955979488
12331,13.007014815915763
12332,13.753100321034397
12333,13.766963525117848
12334,14.17198526838673
12335,14.05754349056672
12336,14.385228202720521
12337,13.93760954974091
12338,13.306466231943723
12339,13.557013142665294
12340,13.136608999413202
12341,13.244429400697307
12342,13.317721223232041
12343,13.444569140316606
12344,13.33302662248623
12345,13.522442004055103
12346,13.580683394188716
12347,13.650657216451176
12348,13.380562531364038
12349,13.358671431133313
12350,13.759337999987173
12351,13.86031781191595
12352,14.465360782465694
12353,14.439746969703295
12354,14.37147015837555
12355,14.314355928563238
12356,14.319007410895125
12357,14.572269030000015
12358,14.34436400533798
12359,14.129250303473047
12360,14.031234983892633
12361,14.101352937022973
12362,13.87152148416658
12363,13.858270437311992
12364,13.802694653464332
12365,14.001460821641398
12366,13.807701609943681
12367,13.491493723645082
12368,13.350106358694715
12369,13.494536686926487
12370,13.165542612669329
12371,13.005471874038255
12372,12.94693494289254
12373,12.763525508349268
12374,12.85166558012837
12375,12.93841797243974
12376,13.051623567400036
12377,12.892846444706468
12378,13.344290603410373
12379,13.107061407542556
12380,13.333637629345814
12381,13.326006533836809
12382,13.389232677548126
12383,13.355533863183114
12384,13.448217283546603
12385,13.480704913773637
12386,13.515921933294948
12387,13.569586553253126
12388,13.589134925595225
12389,13.268537191899062
12390,13.631035235013279
12391,13.386864883513189
12392,13.409266150938139
12393,14.081255427224772
12394,14.73364653214204
12395,14.616539058383568
12396,15.23628523710078
12397,15.278204674222183
12398,15.336689277004405
12399,15.145438955601174
12400,14.953065406157972
12401,15.069794691806141
12402,15.339411151422647
12403,15.410890641669047
12404,15.303442846268013
12405,15.2086879404267
12406,15.31201922092764
12407,15.41161909529021
12408,15.514274540322823
12409,15.281300220360599
12410,15.088190216800875
12411,15.351352047078867
12412,15.167953668402568
12413,15.259640032412621
12414,15.609043560688272
12415,15.501349232923502
12416,15.653426361810942
