day,average_speed,average_size,average_intelligence
65,4.592991018432766,1.2987424392037767,1.2028351189396889
66,4.750822793463181,1.3004653033750773,1.2134733971684526
67,4.917365161601268,1.315977269983114,1.2012710467063836
68,5.213152222215,1.3507843454261423,1.2381585055601805
69,5.420955511265832,1.374124083663206,1.2607470625014885
70,5.460005090446662,1.3582767727421075,1.2450278600906384
71,5.455609233605581,1.370294610713643,1.229397469374098
72,5.623478868200929,1.366679881795935,1.23574649857371
73,5.765176501983165,1.360222944016757,1.258533211693776
74,6.131056137061451,1.3731278609138524,1.271277982462248
75,6.392910161838627,1.3490533223052037,1.2776479467889097
76,6.559544215029976,1.3527669938443958,1.3354564080178435
77,6.829973893476964,1.3627502304014514,1.4015450777133016
78,6.8331262138789075,1.3319933575171883,1.3832471342972628
79,6.896416856080208,1.3142696032439602,1.3769193271096478
80,7.007230304326561,1.3304815277378066,1.367791686763483
81,7.160880746148123,1.2833428425260285,1.396016752554529
82,7.352788982772596,1.2944189425643484,1.4343459234097962
83,7.472877355362519,1.3652939625985425,1.4918144551520953
84,7.528605107119897,1.4201793501495201,1.5573897785068862
85,7.578517964552399,1.4443983719087172,1.5675708960613959
86,7.581176146185525,1.4508618389722425,1.573141827967737
87,7.780677345812411,1.52679228378328,1.5975496426585358
88,7.896594568390603,1.5203430820728607,1.617703679029494
89,8.008726381749,1.465156417868786,1.640591600129781
90,8.225139773852431,1.467009758288693,1.6592100672728116
91,8.403029443555438,1.5092235017328879,1.6556005708200805
92,8.449578215473732,1.5001539518610125,1.680805226287526
93,8.653697228962955,1.5146332448657067,1.664914599395513
94,8.871983287299635,1.4414803193949959,1.7204345687653653
95,8.90844691440614,1.4430146760580604,1.7234691162814095
96,9.003627239018495,1.3885269072226243,1.744713501040809
97,8.926897644585102,1.3645166340626298,1.7255204735199865
98,9.008975710278039,1.4144708645797215,1.7677481452812538
99,9.19290353627035,1.366760632019199,1.7656803690442104
100,9.252225977886926,1.4115133102682091,1.7795778895057357
101,9.264471308584778,1.3630471124639438,1.729305486194482
102,9.258955085304708,1.4016164734961476,1.78020736300085
103,9.262870998223077,1.3965336195297369,1.8020346346484808
104,9.558055481880636,1.308897870170378,1.838537994138662
105,9.698107566948602,1.253410208756682,1.859684165849757
106,9.794564639538846,1.245944819383617,1.881947121767656
107,10.019686869507321,1.2431887711752878,1.9195113164568696
108,10.21586544207868,1.2258197046936001,1.9375338792448151
109,10.354579885720076,1.23795631358587,1.9909729126642564
110,10.358893825587291,1.221624003490091,1.9668721160853266
111,10.388401023399915,1.2081690386808153,1.9039777057669793
112,10.50599805641299,1.2120814444217562,1.890665713719673
113,10.81050261278991,1.2305324160407904,1.8432174535253953
114,10.76374155690242,1.2046044376664067,1.8254034315368457
115,10.905719839231645,1.1892182225629213,1.8469630599391698
116,10.824911232397824,1.166591429055544,1.8586330825588926
117,11.026788725049316,1.219476362880827,1.8075931789812467
118,11.159062526224032,1.2276004305695527,1.8033263968161957
119,11.33644872428782,1.1804651679231852,1.7887972881485086
120,11.586230656840597,1.1695876174626918,1.8345939142876952
121,11.678016130572667,1.1379057333073297,1.8744688948685357
122,11.752816286113895,1.1517676424396672,1.9072520715220098
123,11.787571192746352,1.1758997447110218,1.9382563557290649
124,11.970999702533637,1.211657967099007,2.0043697260025426
125,12.311711888877653,1.2303241074147426,2.0062037507235195
126,12.32391865930907,1.2629479686407394,2.0340064408620355
127,12.588812122059965,1.2835900299893241,2.0482590895453394
128,12.963962319837243,1.2777561275611629,2.059730574554527
129,13.459558389329494,1.3026796303322734,2.0064699448969505
130,13.664065045428188,1.3105221081082379,2.0623948747546827
131,14.033662997360574,1.3079782881763473,2.094105229917697
132,14.1028877500976,1.2929109529672238,2.1544644081821267
133,14.25265499837215,1.2736065791988365,2.1712781700936006
134,14.127012964049394,1.2849827466877703,2.239939099314858
135,14.052417857899266,1.2702427149693933,2.408336185085453
136,14.196404943496452,1.2738269444816206,2.468646450362559
137,14.644197958773598,1.2526914545161327,2.538375360870141
138,14.832753834043436,1.2437930991675268,2.525956306622447
139,15.0450675213438,1.229735031724822,2.5440511694262598
140,15.371541135388199,1.2312482351970042,2.550913748565705
141,15.546114994110285,1.2091500235951511,2.5713833780575115
142,16.19219512185581,1.214319909735054,2.57761691721719
143,16.330008328247793,1.2259920528744506,2.6109551229297567
144,16.529469670755663,1.2296318402148405,2.621263221656257
145,16.886541907412024,1.2639797331019365,2.6194168198280474
146,17.62867945178272,1.2882929437156512,2.578663185383922
147,17.72472414765203,1.3142516933284731,2.568483504077953
148,18.02967158566208,1.3493739218570582,2.5468631231567893
149,18.64527838435713,1.3407734351045024,2.5941811069959186
150,19.298900548544317,1.3497655591745459,2.6215785674774823
151,19.96019904010947,1.3559747042981316,2.66058998469298
152,19.925321457246667,1.3337313002792768,2.646489505666529
153,20.126822022799264,1.3230765370937025,2.6721281910884196
154,20.66978931628256,1.3570291372942502,2.6561401246714054
155,21.04766762688625,1.351756116658656,2.6937228909202386
156,20.959140405689354,1.3318479803299574,2.6949383131381537
157,21.039309091493408,1.3539308903357423,2.698749384665427
158,20.802891468897464,1.3294196712435709,2.6832162672318445
159,20.573606421813416,1.3358957745069049,2.72948463182972
160,21.234825872464313,1.291459439786394,2.7403330128055376
161,21.274880968345858,1.336614045971962,2.7060637811190826
162,21.017929568865988,1.3454373676170575,2.7373412397206924
163,20.879138539572544,1.3609972281829312,2.6734040412137943
164,21.107923564233396,1.34049398400108,2.6953473432654373
165,20.941109101822505,1.33966762336291,2.720871046817629
166,20.549757441436824,1.3647687125754513,2.7213124255027825
167,20.898832768995085,1.3730434749791562,2.7239964932878453
168,21.717809760973385,1.4035295348606052,2.7156642328142704
169,21.99719936689636,1.4066323315485236,2.6980632962017412
170,22.26011003655419,1.4020599939269789,2.7697320025853926
171,22.049698270984713,1.350916590171655,2.7880791549370016
172,22.357561184215747,1.3665391608755657,2.7841444435501446
173,21.782154529858385,1.3964032683739669,2.792355233487319
174,21.819684619612474,1.3539805612561906,2.7322792272780916
175,20.96470712944996,1.3690315109936277,2.7432609749001653
176,21.398475514466647,1.3445371192982294,2.821153107126797
177,21.35488915891119,1.3588218062630006,2.8247304915300386
178,21.023763211238176,1.3534209147091336,2.836688553784324
179,21.580754455077418,1.3574656822264828,2.904529273064525
180,21.464402766406433,1.3673929607929098,2.909196241184788
181,21.651891311738115,1.3968730804774843,2.856458974793685
182,21.799941697164854,1.420516352344574,2.892968698041176
183,21.730206578209923,1.4420304122615575,2.867461758768882
184,22.221511512720763,1.4468742887485573,2.892406475230043
185,21.899334873840807,1.4826162916772092,2.8445343332640087
186,21.268102561093436,1.4586016767414294,2.8740712073129546
187,22.39743159726078,1.4558978037915316,2.957757730839677
188,22.754443457088097,1.4575306172527613,2.9490068989492992
189,22.918837375929584,1.449773648501045,2.9727869056487135
190,23.031983281978803,1.4452858637118513,3.0144764787283993
191,23.243530422527552,1.432384975216605,3.0136438768922496
192,23.91260530386136,1.4417962188644784,3.0541397363227727
193,22.983590680250135,1.4422512154361746,2.9672775138347083
194,23.495964325260644,1.4449363897156025,2.98792249682914
195,24.35870049477839,1.4727757653285254,3.084587500398278
196,23.174835251425385,1.430751190044899,3.049201069370355
197,22.435147461468905,1.4230667797523744,2.9831889515253853
198,22.834686388023652,1.4133008936261102,3.0011089672873896
199,22.97150859185663,1.4361990080277944,3.073879053535084
200,23.29516231511898,1.4614554892799234,3.055159234334977
201,23.3846483461833,1.4669923822465787,3.088224241270319
202,24.057759515768886,1.4950098096043984,3.1469239886821017
203,23.722529161786667,1.4798656990066024,3.111664115895518
204,22.9282007849822,1.4661594787270407,3.1095267817815873
205,22.59079580745808,1.4551935148714672,3.1278282283324814
206,22.717132710872626,1.472375527991793,3.118177794128078
207,22.744011227672097,1.4923650112091968,3.109972964996928
208,23.51304959863666,1.4944841991505124,3.1509420892689213
209,22.42529750533781,1.4526302451673867,3.0664731869134236
210,22.34264495992327,1.4403643188712123,3.0886384478672135
211,21.29903308047716,1.4244720014197678,2.9603637294705667
212,21.408630397449063,1.4173852490486685,2.94498379453094
